timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,isFailure,total
1526375129938661,-67,-24,-111,-120,-25,85,13,-82,false,86.625
1526375129959680,-82,-76,-40,11,-76,-67,60,79,false,104.125
1526375129959680,118,4,-46,32,-20,-17,-124,-128,false,105.375
1526375129960675,41,91,95,86,119,1,91,127,false,209.375
1526375129960675,-53,13,16,-24,-57,9,53,-58,false,115.375
1526375129974690,50,4,-67,-101,85,90,36,83,false,150.5
1526375129974690,56,-9,47,76,-38,-90,60,-53,false,134.125
1526375129981694,-88,48,66,118,4,47,75,-47,false,155.875
1526375129981694,61,34,-34,8,90,-71,5,-20,false,137.125
1526375129997705,-110,-37,-48,-36,-108,-128,16,59,false,79
1526375129997705,3,8,-20,-83,106,127,-16,-27,false,140.25
1526375129998702,44,-20,-112,-128,80,22,-20,54,false,118
1526375129998702,-53,43,105,121,78,-35,-126,-87,false,133.75
1526375130012715,51,113,127,127,81,71,3,79,false,209.5
1526375130012715,6,-37,-81,-93,-64,-75,-73,-22,false,73.125
1526375130019719,-86,1,103,68,-27,3,90,-68,false,138.5
1526375130019719,33,-57,-128,-128,77,54,68,112,false,131.875
1526375130034729,127,14,-62,55,-28,68,-58,-32,false,138.5
1526375130034729,-47,52,92,62,77,-34,-67,-13,false,143.25
1526375130041733,-26,-1,-96,-123,-59,15,67,22,false,102.875
1526375130041733,41,-5,-74,-28,66,96,52,97,false,158.625
1526375130057743,20,-51,-80,-75,-22,-86,-19,-43,false,83.5
1526375130057743,-1,71,74,51,-96,-73,12,16,false,134.75
1526375130057743,-19,-6,-50,-38,2,13,14,-27,false,114.125
1526375130057743,-11,-26,-39,-88,-28,7,8,5,false,106.5
1526375130072754,-50,-51,-57,-98,-45,18,-7,-7,false,90.875
1526375130072754,-104,-27,-26,-49,-16,21,-3,-37,false,97.875
1526375130079754,83,45,21,35,78,0,12,41,false,167.375
1526375130079754,2,-42,56,29,-50,36,-29,-33,false,124.125
1526375130094764,89,30,55,102,66,-39,-18,-19,false,161.25
1526375130094764,-26,-37,26,32,-48,12,25,9,false,127.125
1526375130101774,-33,17,-70,-85,-53,-30,-23,-5,false,92.75
1526375130101774,44,7,77,127,11,-33,-15,23,false,158.125
1526375130124789,-70,28,78,-18,-50,-46,-57,-23,false,108.25
1526375130124789,-20,-26,-54,-61,31,62,44,29,false,128.625
1526375130125785,-13,-41,-28,-14,4,-5,-15,-14,false,112.25
1526375130125785,63,-6,-31,-21,-27,-34,-46,3,false,115.625
1526375130132793,25,14,6,-17,-32,-9,-23,21,false,126.125
1526375130132793,-3,-10,-12,-1,-10,35,-5,-4,false,126.75
1526375130147800,-64,-16,0,5,28,-28,2,-13,false,117.25
1526375130147800,-77,-23,-22,2,-21,-23,-16,-39,false,100.625
1526375130153804,12,2,16,8,23,18,-25,-15,false,132.875
1526375130153804,54,-3,-59,-90,24,34,82,48,false,139.25
1526375130161813,27,12,11,-12,-42,-44,-12,5,false,121.125
1526375130161813,-21,27,85,84,14,11,-17,3,false,151.25
1526375130177820,-5,-2,19,15,-8,17,6,-4,false,132.75
1526375130177820,-18,-12,-25,-14,21,-11,-13,-8,false,118
